TCTE
Version: v3L3
Created: 08-Jun-2022
JD        Value 
2457033.5 1362.456100
2457034.5 1362.321400
2457035.5 1362.313400
2457036.5 1362.601800
2457037.5 1362.764000
2457038.5 1362.796400
2457039.5 1362.788000
2457040.5 1362.724700
2457041.5 NaN
2457042.5 1362.065600
2457043.5 1362.103700
2457044.5 1362.120400
2457045.5 1362.153800
2457046.5 1362.121900
2457047.5 1362.024200
2457048.5 1361.915400
2457049.5 1361.511600
2457050.5 1361.467700
2457051.5 1361.611200
2457052.5 1361.796100
2457053.5 1362.076300
2457054.5 1362.278500
2457055.5 1362.407700
2457056.5 1362.432000
2457057.5 1362.520000
2457058.5 1362.573600
2457059.5 1362.674400
2457060.5 1362.739500
2457061.5 1362.689300
2457062.5 1362.577100
2457063.5 1362.522200
2457064.5 1362.698900
2457065.5 1362.607900
2457066.5 1362.508500
2457067.5 1362.370800
2457068.5 1362.285100
2457069.5 1362.179100
2457070.5 1362.051600
2457071.5 1362.108800
2457072.5 1362.194300
2457073.5 1362.234500
2457074.5 1362.211100
2457075.5 1362.154800
2457076.5 1362.096200
2457077.5 1362.121100
2457078.5 1362.289400
2457079.5 1362.337400
2457080.5 1362.477600
2457081.5 1362.400200
2457082.5 1362.427000
2457083.5 1362.453400
2457084.5 1362.416500
2457085.5 1362.553700
2457086.5 1362.727700
2457087.5 1362.730600
2457088.5 1362.684900
2457089.5 1362.635300
2457090.5 1362.574400
2457091.5 1362.321000
2457092.5 1362.239700
2457093.5 1361.871700
2457094.5 1361.629500
2457095.5 1361.732000
2457096.5 1361.744500
2457097.5 1361.715600
2457098.5 1361.804700
2457099.5 1361.957300
2457100.5 1362.014400
2457101.5 1361.981000
2457102.5 1361.949500
2457103.5 1361.971900
2457104.5 1362.012700
2457105.5 1362.021900
2457106.5 1362.119000
2457107.5 1362.054000
2457108.5 1362.089500
2457109.5 1362.124500
2457110.5 1362.161000
2457111.5 1362.104500
2457112.5 1362.199100
2457113.5 1362.449900
2457114.5 1362.512200
2457115.5 1362.630000
2457116.5 1362.566400
