ACRIM2/UARS
Version: 
Created: 08-Jun-2022
JD        Value 
2449002.5 1364.722000
2449003.5 1364.667000
2449004.5 1364.571000
2449005.5 1364.581000
2449006.5 1364.577000
2449007.5 1364.650000
2449008.5 1364.623000
2449009.5 1364.574000
2449010.5 1364.674000
2449011.5 1364.691000
2449012.5 1364.695000
2449013.5 1364.692000
2449014.5 1364.667000
2449015.5 1364.756000
2449016.5 1364.823000
2449017.5 1364.759000
2449018.5 1364.701000
2449019.5 1364.652000
2449020.5 1364.560000
2449021.5 1364.541000
2449022.5 1364.169000
2449023.5 1363.801000
2449024.5 1363.646000
2449025.5 1363.368000
2449026.5 1363.085000
2449027.5 1363.169000
2449028.5 1363.149000
2449029.5 1363.454000
2449030.5 1363.801000
2449031.5 1364.205000
2449032.5 1364.392000
2449033.5 1364.623000
2449034.5 1364.645000
2449035.5 1364.436000
2449036.5 1364.407000
2449037.5 1364.463000
2449038.5 1364.353000
2449039.5 1364.230000
2449040.5 1364.007000
2449041.5 1363.881000
2449042.5 1363.978000
2449043.5 1364.249000
2449044.5 1364.305000
2449045.5 1364.272000
2449046.5 1364.336000
2449047.5 1364.167000
2449048.5 1364.171000
2449049.5 1364.282000
2449050.5 1364.170000
2449051.5 1364.172000
2449052.5 1364.151000
2449053.5 1363.841000
2449054.5 1363.536000
2449055.5 1363.616000
2449056.5 1363.830000
2449057.5 1364.252000
2449058.5 1364.564000
2449059.5 1364.697000
2449060.5 1364.758000
2449061.5 1364.697000
2449062.5 1364.688000
2449063.5 1364.691000
2449064.5 1364.675000
2449065.5 1364.661000
2449066.5 1364.609000
2449067.5 1364.659000
2449068.5 1364.543000
2449069.5 1364.486000
2449070.5 1364.577000
2449071.5 1364.716000
2449072.5 1364.836000
2449073.5 1364.789000
2449074.5 1364.619000
2449075.5 1364.608000
2449076.5 1364.627000
2449077.5 1364.609000
2449078.5 1364.434000
2449079.5 1364.402000
2449080.5 1364.388000
2449081.5 1364.320000
2449082.5 1364.289000
2449083.5 1364.052000
2449084.5 1364.044000
2449085.5 1364.146000
2449086.5 1364.217000
2449087.5 1364.419000
2449088.5 1364.535000
2449089.5 1364.587000
2449090.5 1364.616000
2449091.5 1364.601000
2449092.5 1364.634000
2449093.5 1364.568000
2449094.5 1364.880000
2449095.5 1364.780000
2449096.5 1364.845000
2449097.5 1364.643000
2449098.5 1364.357000
2449099.5 1364.494000
2449100.5 1364.610000
2449101.5 1364.659000
2449102.5 1364.877000
2449103.5 1365.050000
2449104.5 1365.057000
2449105.5 1365.058000
2449106.5 1365.052000
2449107.5 1364.910000
2449108.5 1364.862000
2449109.5 1364.830000
2449110.5 1364.761000
2449111.5 1364.828000
2449112.5 1364.784000
2449113.5 1364.604000
2449114.5 1364.161000
2449115.5 1363.780000
2449116.5 1363.503000
2449117.5 1363.366000
2449118.5 1363.610000
2449119.5 1364.004000
2449120.5 1364.179000
2449121.5 1364.476000
2449122.5 1364.453000
2449123.5 1364.445000
2449124.5 1364.411000
2449125.5 1364.436000
2449126.5 1364.529000
2449127.5 1364.628000
2449128.5 1364.687000
2449129.5 1364.648000
2449130.5 1364.666000
2449131.5 1364.736000
2449132.5 1364.769000
2449133.5 1364.760000
2449134.5 1364.704000
2449135.5 1364.504000
2449136.5 1364.418000
2449137.5 1364.228000
2449138.5 1364.161000
2449139.5 1364.321000
2449140.5 1364.318000
2449141.5 1364.314000
2449142.5 1364.477000
2449143.5 1364.493000
2449144.5 1364.267000
2449145.5 1364.323000
2449146.5 1364.362000
2449147.5 1364.441000
2449148.5 1364.393000
2449149.5 1364.454000
2449150.5 1364.379000
2449151.5 1364.283000
2449152.5 1364.233000
2449153.5 1364.235000
2449154.5 1364.253000
2449155.5 1364.246000
2449156.5 1364.321000
2449157.5 1364.427000
2449158.5 1364.401000
2449159.5 1364.459000
2449160.5 1364.535000
2449161.5 1364.539000
2449162.5 1364.453000
2449163.5 1364.494000
2449164.5 1364.590000
2449165.5 1364.606000
2449166.5 1364.460000
2449167.5 1364.388000
2449168.5 1364.268000
2449169.5 1364.337000
2449170.5 1364.449000
2449171.5 1364.412000
2449172.5 1364.588000
2449173.5 1364.689000
2449174.5 1364.734000
2449175.5 1364.641000
2449176.5 1364.509000
2449177.5 1364.122000
2449178.5 1364.078000
2449179.5 1364.103000
2449180.5 1364.181000
2449181.5 1364.123000
2449182.5 1364.120000
2449183.5 1364.084000
2449184.5 1364.250000
2449185.5 1364.396000
2449186.5 1364.434000
2449187.5 1364.476000
2449188.5 1364.430000
2449189.5 1364.277000
2449190.5 1364.423000
2449191.5 1364.540000
2449192.5 1364.705000
2449193.5 1364.672000
2449194.5 1364.706000
2449195.5 1364.617000
2449196.5 1364.564000
2449197.5 1364.509000
2449198.5 1364.465000
2449199.5 1364.476000
2449200.5 1364.465000
2449201.5 1364.475000
2449202.5 1364.457000
2449203.5 1364.379000
2449209.5 1364.610000
2449210.5 1364.554000
2449211.5 1364.577000
2449212.5 1364.553000
