TSIS-1
Version: v3L3
Created: 11-Dec-2024
JD        Value 
2459023.5 1361.616100
2459024.5 1361.609300
2459025.5 1361.627600
2459026.5 1361.618300
2459027.5 1361.611400
2459028.5 1361.641600
2459029.5 1361.634400
2459030.5 1361.617900
2459031.5 1361.625500
2459032.5 1361.630900
2459033.5 1361.645300
2459034.5 NaN
2459035.5 NaN
2459036.5 NaN
2459037.5 NaN
2459038.5 NaN
2459039.5 NaN
2459040.5 1361.658300
2459041.5 1361.635000
2459042.5 1361.641900
2459043.5 NaN
2459044.5 NaN
2459045.5 NaN
2459046.5 NaN
2459047.5 NaN
2459048.5 NaN
2459049.5 NaN
2459050.5 NaN
2459051.5 1361.627500
2459052.5 1361.623200
2459053.5 1361.625200
2459054.5 1361.583300
2459055.5 NaN
2459056.5 1361.563000
2459057.5 1361.557400
2459058.5 1361.540000
2459059.5 1361.606600
2459060.5 1361.641700
2459061.5 1361.722200
2459062.5 1361.740300
2459063.5 1361.761000
2459064.5 NaN
2459065.5 1361.764300
2459066.5 1361.770500
2459067.5 1361.754500
2459068.5 1361.762600
2459069.5 1361.749100
2459070.5 1361.744900
2459071.5 1361.732800
2459072.5 1361.702900
2459073.5 1361.711600
2459074.5 1361.698100
2459075.5 1361.747800
2459076.5 1361.751100
2459077.5 1361.704700
2459078.5 1361.686400
2459079.5 1361.656800
2459080.5 1361.675000
2459081.5 1361.679600
2459082.5 1361.683600
2459083.5 1361.701400
2459084.5 1361.662300
2459085.5 1361.668200
2459086.5 1361.646200
2459087.5 1361.663400
2459088.5 1361.670800
2459089.5 1361.678700
2459090.5 1361.704000
2459091.5 1361.684900
2459092.5 1361.682500
2459093.5 1361.667900
2459094.5 1361.676100
2459095.5 1361.681600
2459096.5 1361.672800
2459097.5 1361.684400
2459098.5 1361.677200
2459099.5 1361.662200
2459100.5 1361.654000
2459101.5 1361.642200
2459102.5 1361.624700
2459103.5 1361.655400
2459104.5 1361.608700
2459105.5 1361.624700
2459106.5 1361.646500
2459107.5 1361.632600
2459108.5 1361.622700
2459109.5 1361.619300
2459110.5 1361.595700
2459111.5 1361.609700
2459112.5 1361.628700
2459113.5 1361.618500
2459114.5 1361.600500
2459115.5 1361.625800
2459116.5 1361.673800
2459117.5 1361.705900
2459118.5 1361.695500
2459119.5 1361.712700
2459120.5 1361.725200
2459121.5 1361.734500
2459122.5 1361.730000
2459123.5 1361.717200
2459124.5 1361.739800
2459125.5 1361.732000
2459126.5 1361.733400
2459127.5 1361.690700
2459128.5 1361.675500
2459129.5 1361.643800
2459130.5 NaN
2459131.5 1361.612300
2459132.5 1361.628200
2459133.5 1361.645100
2459134.5 1361.668900
2459135.5 1361.693100
2459136.5 1361.674400
2459137.5 1361.702500
2459138.5 1361.724200
2459139.5 1361.714300
2459140.5 1361.700500
2459141.5 1361.643400
2459142.5 1361.584900
2459143.5 1361.659200
2459144.5 1361.677700
2459145.5 NaN
2459146.5 1361.759600
2459147.5 1361.762100
2459148.5 1361.715800
2459149.5 1361.680400
2459150.5 1361.620200
2459151.5 1361.634900
2459152.5 1361.644100
2459153.5 1361.761600
2459154.5 1361.767800
2459155.5 1361.731000
2459156.5 1361.699700
2459157.5 1361.713500
2459158.5 1361.687800
2459159.5 1361.585700
2459160.5 1361.489400
2459161.5 1361.535000
2459162.5 1361.556100
2459163.5 1361.560100
2459164.5 1361.774900
2459165.5 1361.807800
2459166.5 1361.913800
2459167.5 1361.899800
2459168.5 1361.892100
2459169.5 1361.797800
2459170.5 1361.765200
2459171.5 1361.722400
2459172.5 NaN
2459173.5 1361.863300
2459174.5 1361.820300
2459175.5 1361.753500
2459176.5 1361.700100
2459177.5 1361.653200
2459178.5 1361.702800
2459179.5 1361.693900
2459180.5 1361.477900
2459181.5 1361.338100
2459182.5 1361.227100
2459183.5 1361.162300
2459184.5 1361.301600
2459185.5 1361.524800
2459186.5 1361.767200
2459187.5 1361.944100
2459188.5 1362.069600
2459189.5 1362.022500
2459190.5 1361.899600
2459191.5 1361.825000
2459192.5 1361.816500
2459193.5 1361.846500
2459194.5 1361.840300
2459195.5 1361.877900
2459196.5 NaN
2459197.5 NaN
2459198.5 NaN
2459199.5 NaN
2459200.5 NaN
2459201.5 NaN
2459202.5 1361.849400
2459203.5 1361.813800
2459204.5 NaN
2459205.5 1361.871400
2459206.5 1361.909700
2459207.5 1361.895900
2459208.5 1361.831100
2459209.5 1361.702100
2459210.5 1361.603900
2459211.5 1361.608300
2459212.5 1361.645700
2459213.5 1361.773900
2459214.5 1361.857000
2459215.5 1361.926000
2459216.5 1361.930900
2459217.5 1361.932100
2459218.5 1361.896100
2459219.5 1361.834300
2459220.5 1361.798700
2459221.5 1361.777300
2459222.5 1361.768700
2459223.5 1361.751400
2459224.5 1361.748600
2459225.5 1361.740200
2459226.5 NaN
2459227.5 NaN
2459228.5 1361.705500
2459229.5 NaN
2459230.5 NaN
2459231.5 NaN
2459232.5 NaN
2459233.5 1361.834600
2459234.5 1361.862200
2459235.5 1361.854000
2459236.5 1361.819900
2459237.5 1361.819200
2459238.5 1361.875500
2459239.5 1361.929800
2459240.5 1361.926600
2459241.5 1361.922300
2459242.5 1361.925700
2459243.5 1361.909900
2459244.5 1361.888300
2459245.5 1361.828200
2459246.5 1361.798600
2459247.5 1361.772000
2459248.5 1361.752800
2459249.5 1361.713800
2459250.5 1361.713700
2459251.5 1361.702000
2459252.5 1361.716300
2459253.5 1361.713800
2459254.5 1361.706900
2459255.5 1361.707800
2459256.5 1361.717500
2459257.5 1361.740900
2459258.5 1361.768700
2459259.5 1361.754100
2459260.5 1361.782500
2459261.5 1361.802600
2459262.5 1361.819500
2459263.5 1361.822100
2459264.5 1361.822500
2459265.5 1361.835900
2459266.5 1361.861100
2459267.5 1361.847800
2459268.5 1361.838400
2459269.5 1361.750500
2459270.5 1361.751700
2459271.5 1361.725300
2459272.5 1361.775100
2459273.5 1361.809600
2459274.5 1361.818100
2459275.5 1361.751100
2459276.5 1361.721200
2459277.5 1361.689800
2459278.5 1361.731200
2459279.5 1361.711200
2459280.5 1361.711900
