SILSO
Version: v2
Created: 03-Nov-2024
JD        Value 
2455609.5 29.600000
2455640.5 36.400000
2455670.5 33.600000
2455701.5 34.400000
2455731.5 24.500000
2455762.5 27.300000
2455793.5 48.300000
2455821.5 78.600000
2455852.5 76.100000
2455882.5 58.200000
2455913.5 56.100000
2455943.5 64.500000
2455974.5 65.800000
2456005.5 120.100000
2456035.5 125.700000
2456066.5 139.100000
2456096.5 109.300000
2456127.5 94.400000
2456158.5 47.800000
2456187.5 86.600000
2456218.5 85.900000
2456248.5 96.500000
2456279.5 92.000000
2456309.5 100.100000
2456340.5 94.800000
2456371.5 93.700000
2456401.5 76.500000
2456432.5 87.600000
2456462.5 56.800000
2456493.5 96.100000
2456524.5 60.900000
2456552.5 78.300000
2456583.5 107.300000
2456613.5 120.200000
2456644.5 76.700000
2456674.5 86.200000
2456705.5 91.800000
2456736.5 54.500000
2456766.5 114.400000
2456797.5 113.900000
2456827.5 124.200000
2456858.5 117.000000
2456889.5 146.100000
2456917.5 128.700000
2456948.5 112.500000
2456978.5 112.500000
2457009.5 102.900000
2457039.5 100.200000
2457070.5 106.900000
2457101.5 130.000000
2457131.5 90.000000
2457162.5 103.600000
2457192.5 112.900000
2457223.5 93.000000
2457254.5 66.700000
2457282.5 54.500000
2457313.5 75.300000
2457343.5 88.800000
2457374.5 66.500000
2457404.5 65.800000
2457435.5 64.400000
2457466.5 78.600000
2457496.5 63.600000
2457527.5 62.200000
2457557.5 58.000000
2457588.5 57.000000
2457619.5 56.400000
2457648.5 54.100000
2457679.5 37.900000
2457709.5 51.500000
2457740.5 20.500000
2457770.5 32.400000
2457801.5 50.200000
2457832.5 44.600000
2457862.5 33.400000
2457893.5 21.400000
2457923.5 18.500000
2457954.5 26.100000
2457985.5 26.400000
2458013.5 17.700000
2458044.5 32.300000
2458074.5 18.900000
2458105.5 19.200000
2458135.5 17.800000
2458166.5 32.600000
2458197.5 43.700000
2458227.5 13.200000
2458258.5 5.700000
2458288.5 8.200000
2458319.5 6.800000
2458350.5 10.700000
2458378.5 2.500000
2458409.5 8.900000
2458439.5 13.100000
2458470.5 15.600000
2458500.5 1.600000
2458531.5 8.700000
2458562.5 3.300000
2458592.5 4.900000
2458623.5 4.900000
2458653.5 3.100000
2458684.5 7.700000
2458715.5 0.800000
