;The following data are for ACRIM2_corr
;The standard deviation was produced by comparing the  355day filtered TSI data
;  with the sunspot number also filtered with the same smoothing.
;The columns are as follows:  1: julian day, 2: TSI in Wm-2, 3: stddev in Wm-2
;The format is d12.3,f10.3,f10.4 and no or invalid data are given as -9.0  
;the next line contains the number of lines and the offset as i6,f10.3
  2965  1363.764
 2449305.003  1364.446    0.1002
 2449306.011  1364.361    0.1000
 2449307.011  1364.201    0.0997
 2449308.016  1363.967    0.0995
 2449309.018  1363.813    0.0993
 2449310.025  1363.630    0.0990
 2449311.020  1363.624    0.0988
 2449312.032  1363.844    0.0986
 2449313.011  1364.098    0.0983
 2449314.002  1364.289    0.0981
 2449314.994  1364.368    0.0979
 2449315.969  1364.249    0.0977
 2449316.963  1364.105    0.0974
 2449318.001  1364.152    0.0972
 2449319.017  1364.343    0.0970
 2449320.007  1364.402    0.0968
 2449321.013  1364.387    0.0965
 2449322.013  1364.342    0.0963
 2449323.006  1364.199    0.0961
 2449324.013  1364.306    0.0959
 2449325.016  1364.383    0.0956
 2449326.038  1364.420    0.0954
 2449327.022  1364.357    0.0952
 2449328.021  1364.193    0.0950
 2449329.014  1364.092    0.0947
 2449329.969  1364.106    0.0945
 2449331.000    -9.000   -9.0000
 2449332.002  1364.390    0.0941
 2449332.998  1364.422    0.0939
 2449333.986  1364.316    0.0936
 2449334.983  1364.191    0.0934
 2449335.992  1364.043    0.0932
 2449336.997  1363.995    0.0930
 2449338.010  1363.946    0.0928
 2449339.017  1363.932    0.0926
 2449340.025  1363.953    0.0923
 2449341.023  1364.018    0.0921
 2449342.016  1364.010    0.0919
 2449343.018  1364.025    0.0917
 2449344.016  1364.000    0.0915
 2449345.009  1363.956    0.0913
 2449346.008  1363.788    0.0911
 2449347.012  1363.579    0.0909
 2449348.012  1363.478    0.0907
 2449348.999  1363.663    0.0904
 2449349.995  1363.912    0.0902
 2449350.989  1364.122    0.0900
 2449351.977  1364.267    0.0898
 2449352.979  1364.202    0.0896
 2449353.994  1363.778    0.0894
 2449354.977  1363.405    0.0892
 2449355.984  1363.355    0.0890
 2449356.993  1363.443    0.0888
 2449357.761  1363.401    0.0886
 2449359.016  1363.615    0.0884
 2449359.978  1363.890    0.0882
 2449360.998  1364.151    0.0880
 2449361.991  1363.995    0.0878
 2449362.986  1363.858    0.0876
 2449363.988  1363.817    0.0874
 2449364.991  1363.942    0.0872
 2449365.992  1364.057    0.0870
 2449366.996  1364.129    0.0868
 2449368.017  1364.145    0.0866
 2449369.007  1364.075    0.0864
 2449370.012  1364.039    0.0862
 2449371.010  1363.956    0.0860
 2449372.014  1363.866    0.0858
 2449373.018  1363.814    0.0856
 2449374.020  1363.740    0.0854
 2449375.031  1363.764    0.0852
 2449376.018  1363.937    0.0850
 2449377.012  1364.017    0.0848
 2449378.003  1364.261    0.0846
 2449378.996  1364.540    0.0844
 2449379.996  1364.802    0.0843
 2449380.990  1364.803    0.0841
 2449382.004  1364.717    0.0839
 2449382.984  1364.653    0.0837
 2449383.986  1364.623    0.0835
 2449384.993  1364.662    0.0833
 2449385.995  1364.664    0.0831
 2449386.970  1364.657    0.0829
 2449387.969  1364.555    0.0827
 2449389.017  1364.373    0.0826
 2449390.012  1364.209    0.0824
 2449391.015  1364.090    0.0822
 2449392.013  1364.151    0.0820
 2449393.010  1364.061    0.0818
 2449394.007  1363.945    0.0816
 2449395.006  1363.897    0.0815
 2449396.009  1364.047    0.0813
 2449396.993  1364.245    0.0811
 2449397.990  1364.333    0.0809
 2449398.987  1364.346    0.0807
 2449399.985  1364.231    0.0806
