;The following data are for HF_corr
;The standard deviation was produced by comparing the  355day filtered TSI data
;  with the sunspot number also filtered with the same smoothing.
;The columns are as follows:  1: julian day, 2: TSI in Wm-2, 3: stddev in Wm-2
;The format is d12.3,f10.3,f10.4 and no or invalid data are given as -9.0  
;the next line contains the number of lines and the offset as i6,f10.3
  5184  1371.020
 2444227.000  1372.701    0.0493
 2444228.000    -9.000   -9.0000
 2444229.000  1372.186    0.0494
 2444230.000  1372.219    0.0494
 2444231.000  1372.171    0.0495
 2444232.000    -9.000   -9.0000
 2444233.000  1372.216    0.0496
 2444234.000  1372.688    0.0496
 2444235.000  1372.730    0.0497
 2444236.000    -9.000   -9.0000
 2444237.000  1372.455    0.0497
 2444238.000  1372.667    0.0498
 2444239.000  1372.850    0.0498
 2444240.000    -9.000   -9.0000
 2444241.000  1372.445    0.0499
 2444242.000  1372.437    0.0500
 2444243.000  1372.500    0.0500
 2444244.000    -9.000   -9.0000
 2444245.000  1372.255    0.0501
 2444246.000  1371.968    0.0502
 2444247.000  1371.910    0.0502
 2444248.000    -9.000   -9.0000
 2444249.000  1371.895    0.0503
 2444250.000  1372.287    0.0504
 2444251.000  1372.610    0.0504
 2444252.000    -9.000   -9.0000
 2444253.000  1372.814    0.0505
 2444254.000  1372.967    0.0505
 2444255.000  1372.759    0.0506
 2444256.000    -9.000   -9.0000
 2444257.000  1372.294    0.0507
 2444258.000  1372.416    0.0507
 2444259.000  1372.398    0.0508
 2444260.000    -9.000   -9.0000
 2444261.000  1371.883    0.0509
 2444262.000  1371.945    0.0509
 2444263.000  1372.457    0.0510
 2444264.000    -9.000   -9.0000
 2444265.000  1372.471    0.0510
 2444266.000  1372.693    0.0511
 2444267.000  1372.835    0.0511
 2444268.000    -9.000   -9.0000
 2444269.000  1372.430    0.0512
 2444270.000  1372.212    0.0513
 2444271.000  1371.975    0.0513
 2444272.000    -9.000   -9.0000
 2444273.000  1371.279    0.0514
 2444274.000  1371.482    0.0515
 2444275.000  1371.754    0.0515
 2444276.000    -9.000   -9.0000
 2444277.000  1371.518    0.0516
 2444278.000  1371.590    0.0516
 2444279.000  1371.812    0.0517
 2444280.000    -9.000   -9.0000
 2444281.000  1371.817    0.0518
 2444282.000  1372.029    0.0518
 2444283.000  1372.111    0.0519
 2444284.000    -9.000   -9.0000
 2444285.000  1371.775    0.0520
 2444286.000  1371.647    0.0520
 2444287.000  1371.869    0.0521
 2444288.000    -9.000   -9.0000
 2444289.000  1372.013    0.0522
 2444290.000  1372.215    0.0522
 2444291.000  1372.717    0.0522
 2444292.000    -9.000   -9.0000
 2444293.000  1372.141    0.0523
 2444294.000  1372.303    0.0524
 2444295.000  1372.355    0.0524
 2444296.000    -9.000   -9.0000
 2444297.000  1372.529    0.0525
 2444298.000  1372.961    0.0526
 2444299.000  1372.973    0.0526
 2444300.000    -9.000   -9.0000
 2444301.000  1372.627    0.0527
 2444302.000  1372.909    0.0527
 2444303.000  1372.881    0.0528
 2444304.000    -9.000   -9.0000
 2444305.000  1372.575    0.0529
 2444306.000  1372.667    0.0529
 2444307.000  1372.699    0.0530
 2444308.000    -9.000   -9.0000
 2444309.000  1372.612    0.0531
 2444310.000  1372.804    0.0531
 2444311.000  1372.886    0.0532
 2444312.000    -9.000   -9.0000
 2444313.000  1372.580    0.0532
 2444314.000  1372.722    0.0533
 2444315.000  1372.903    0.0533
 2444316.000    -9.000   -9.0000
 2444317.000  1372.897    0.0534
 2444318.000  1372.829    0.0535
 2444319.000  1372.801    0.0535
 2444320.000    -9.000   -9.0000
 2444321.000  1372.595    0.0536
 2444322.000  1372.736    0.0537
 2444323.000  1372.908    0.0537
 2444324.000    -9.000   -9.0000
 2444325.000  1373.102    0.0538
 2444326.000  1372.964    0.0538
 2444327.000  1372.926    0.0539
 2444328.000    -9.000   -9.0000
 2444329.000  1372.270    0.0540
 2444330.000  1372.501    0.0540
 2444331.000  1372.683    0.0541
 2444332.000    -9.000   -9.0000
 2444333.000  1372.647    0.0542
 2444334.000    -9.000   -9.0000
 2444335.000  1371.680    0.0542
 2444336.000    -9.000   -9.0000
 2444337.000  1370.484    0.0543
 2444338.000  1370.426    0.0544
 2444339.000  1370.588    0.0544
 2444340.000    -9.000   -9.0000
 2444341.000  1370.941    0.0545
 2444342.000  1371.293    0.0546
 2444343.000  1371.724    0.0546
 2444344.000    -9.000   -9.0000
 2444345.000  1372.118    0.0547
 2444346.000  1372.659    0.0547
 2444347.000  1373.091    0.0548
 2444348.000    -9.000   -9.0000
 2444349.000  1373.214    0.0549
 2444350.000  1373.126    0.0549
 2444351.000  1372.928    0.0550
 2444352.000    -9.000   -9.0000
 2444353.000  1372.162    0.0550
 2444354.000  1372.183    0.0551
 2444355.000  1372.455    0.0551
 2444356.000    -9.000   -9.0000
 2444357.000  1372.498    0.0552
 2444358.000  1372.730    0.0553
 2444359.000  1372.711    0.0553
 2444360.000    -9.000   -9.0000
 2444361.000  1372.125    0.0554
 2444362.000  1371.897    0.0554
 2444363.000  1371.908    0.0555
 2444364.000    -9.000   -9.0000
 2444365.000  1372.201    0.0556
 2444366.000  1372.463    0.0556
 2444367.000  1372.824    0.0557
 2444368.000    -9.000   -9.0000
 2444369.000  1372.888    0.0558
 2444370.000  1372.819    0.0558
 2444371.000  1372.721    0.0558
 2444372.000    -9.000   -9.0000
 2444373.000  1372.284    0.0559
 2444374.000  1372.346    0.0560
 2444375.000  1372.737    0.0560
 2444376.000    -9.000   -9.0000
 2444377.000  1372.510    0.0561
 2444378.000  1372.542    0.0562
 2444379.000  1372.444    0.0562
 2444380.000    -9.000   -9.0000
 2444381.000  1371.957    0.0563
 2444382.000  1371.719    0.0563
 2444383.000  1371.620    0.0564
 2444384.000    -9.000   -9.0000
 2444385.000  1371.184    0.0565
 2444386.000  1371.245    0.0565
 2444387.000  1371.547    0.0565
 2444388.000    -9.000   -9.0000
 2444389.000  1371.970    0.0566
 2444390.000  1372.201    0.0567
 2444391.000  1372.483    0.0567
 2444392.000    -9.000   -9.0000
 2444393.000  1372.255    0.0568
 2444394.000  1372.237    0.0569
 2444395.000  1372.388    0.0569
 2444396.000    -9.000   -9.0000
 2444397.000  1372.251    0.0570
 2444398.000  1372.283    0.0570
 2444399.000  1372.594    0.0571
 2444400.000    -9.000   -9.0000
 2444401.000  1372.347    0.0572
 2444402.000  1372.448    0.0572
 2444403.000  1372.629    0.0572
 2444404.000    -9.000   -9.0000
 2444405.000  1372.372    0.0573
 2444406.000  1372.294    0.0574
 2444407.000    -9.000   -9.0000
 2444408.000    -9.000   -9.0000
 2444409.000  1373.128    0.0575
 2444410.000  1373.209    0.0575
 2444411.000  1373.181    0.0576
 2444412.000    -9.000   -9.0000
 2444413.000  1372.324    0.0577
 2444414.000    -9.000   -9.0000
 2444415.000    -9.000   -9.0000
 2444416.000    -9.000   -9.0000
 2444417.000  1372.189    0.0579
 2444418.000  1372.441    0.0579
 2444419.000  1372.612    0.0579
 2444420.000    -9.000   -9.0000
 2444421.000  1371.975    0.0580
 2444422.000  1372.386    0.0581
 2444423.000  1372.557    0.0581
 2444424.000    -9.000   -9.0000
 2444425.000  1372.190    0.0582
 2444426.000  1372.291    0.0582
 2444427.000  1372.452    0.0583
 2444428.000    -9.000   -9.0000
 2444429.000  1372.295    0.0584
 2444430.000  1372.306    0.0584
 2444431.000  1372.447    0.0585
 2444432.000    -9.000   -9.0000
 2444433.000  1372.040    0.0585
 2444434.000  1371.981    0.0586
 2444435.000  1372.072    0.0586
 2444436.000    -9.000   -9.0000
 2444437.000  1372.085    0.0587
 2444438.000  1372.146    0.0588
 2444439.000  1372.118    0.0588
 2444440.000    -9.000   -9.0000
 2444441.000  1371.861    0.0589
 2444442.000  1372.202    0.0589
 2444443.000  1372.333    0.0590
 2444444.000    -9.000   -9.0000
